[17/06/2022 20:29:01] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_show_skills], Params: [] 
[18/06/2022 8:58:23] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 8:58:25] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 9:02:00] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 9:02:05] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9136] 
[18/06/2022 9:02:34] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 9:02:38] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9376] 
[18/06/2022 9:11:45] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 9:11:49] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setew], Params: [ 18] 
[18/06/2022 9:12:24] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 9:13:44] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 9:13:48] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9391] 
[18/06/2022 9:18:02] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[18/06/2022 9:18:07] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 300511] 
[18/06/2022 9:19:28] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_itemcreate], Params: [] 
[18/06/2022 9:19:33] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_create_item], Params: [ 728 121212] 
[18/06/2022 9:24:56] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_admin], Params: [] 
[18/06/2022 9:24:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_move_to], Params: [] 
[18/06/2022 9:24:59] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2022 9:25:00] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ tele/towns/aden.htm] 
[18/06/2022 9:25:03] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_move_to], Params: [ 147422 27393 -2208] 
[18/06/2022 9:26:18] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShop], Params: [ 30838] 
[18/06/2022 9:26:22] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 99 1] 
[18/06/2022 9:26:28] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 99 2] 
[18/06/2022 9:26:31] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 99 3] 
[18/06/2022 9:26:35] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShop], Params: [ 30838] 
[18/06/2022 9:26:36] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 98 1] 
[18/06/2022 9:26:47] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 98 2] 
[18/06/2022 9:26:49] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 98 3] 
[18/06/2022 9:26:52] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShopList], Params: [ 98 2] 
[18/06/2022 9:27:00] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_showShop], Params: [ 30838] 
[18/06/2022 9:29:19] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_itemcreate], Params: [] 
[18/06/2022 9:29:27] --> GM: XxClaudinhaxX [268477771], Target: [Woodley], Action: [admin_create_item], Params: [ 2383] 
[18/06/2022 9:29:33] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 9:29:38] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 2383] 
[18/06/2022 9:31:18] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_teleportto TESTE], Params: [] 
[18/06/2022 10:14:53] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_reload htm], Params: [] 
[18/06/2022 10:15:06] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_reload], Params: [ skill] 
[18/06/2022 10:15:11] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_reload], Params: [ item] 
[18/06/2022 10:15:16] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:15:22] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9600] 
[18/06/2022 10:15:32] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[18/06/2022 10:15:38] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ instancemanager] 
[18/06/2022 10:15:39] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ npcwalkers] 
[18/06/2022 10:15:40] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ npcbuffers] 
[18/06/2022 10:15:41] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ quests] 
[18/06/2022 10:15:44] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ tradelist] 
[18/06/2022 10:15:49] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ scripts_custom] 
[18/06/2022 10:15:51] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ scripts_feanor] 
[18/06/2022 10:15:53] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ multisell] 
[18/06/2022 10:15:54] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ teleport] 
[18/06/2022 10:15:54] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ skill] 
[18/06/2022 10:15:57] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ npc] 
[18/06/2022 10:15:59] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ htm] 
[18/06/2022 10:16:00] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ item] 
[18/06/2022 10:16:07] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:16:12] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9600] 
[18/06/2022 10:16:26] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_server_restart 0], Params: [] 
[18/06/2022 10:18:25] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:18:32] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9600] 
[18/06/2022 10:23:58] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[18/06/2022 10:24:00] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ item] 
[18/06/2022 10:24:03] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:24:07] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9600] 
[18/06/2022 10:25:19] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[18/06/2022 10:25:20] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ item] 
[18/06/2022 10:25:38] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:25:42] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9600] 
[18/06/2022 10:26:25] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[18/06/2022 10:26:27] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ item] 
[18/06/2022 10:37:52] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:37:56] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 9600] 
[18/06/2022 10:38:14] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:38:24] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9601] 
[18/06/2022 10:38:45] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:38:49] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9602] 
[18/06/2022 10:39:15] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:39:20] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9604] 
[18/06/2022 10:39:23] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:39:26] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9605] 
[18/06/2022 10:40:16] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate 9606], Params: [] 
[18/06/2022 10:40:22] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9606] 
[18/06/2022 10:40:24] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 10:40:27] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 9607] 
[18/06/2022 10:44:27] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[18/06/2022 10:44:30] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ item] 
[18/06/2022 11:01:12] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [] 
[18/06/2022 11:01:14] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [ 90] 
[18/06/2022 11:01:18] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 11:01:19] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_remove_all_skills], Params: [] 
[18/06/2022 11:01:24] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 11:01:25] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_give_all_skills], Params: [] 
[18/06/2022 11:05:52] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_admin], Params: [] 
[18/06/2022 11:05:53] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_create_item], Params: [] 
[18/06/2022 11:05:55] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 11:05:56] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 11:05:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 11:06:03] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9036] 
[18/06/2022 11:07:17] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 11:07:20] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/sets.htm] 
[18/06/2022 11:07:23] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9112] 
[18/06/2022 11:11:05] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 11:11:11] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_gmshop], Params: [] 
[18/06/2022 11:11:13] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_help], Params: [ gmshop/Dyes.htm] 
[18/06/2022 11:11:14] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_buy], Params: [ 9128] 
[18/06/2022 11:13:09] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 11:13:09] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_gmshop], Params: [] 
[18/06/2022 11:13:11] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_buy], Params: [ 3002] 
[18/06/2022 11:18:44] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_itemcreate], Params: [] 
[18/06/2022 11:18:49] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_create_item], Params: [ 1785 12456] 
[18/06/2022 12:01:55] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [] 
[18/06/2022 12:02:01] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [ 89] 
[18/06/2022 12:02:08] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 12:02:09] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_remove_all_skills], Params: [] 
[18/06/2022 12:02:12] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
[18/06/2022 12:02:13] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_give_all_skills], Params: [] 
[18/06/2022 12:02:20] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 12:02:22] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 12:02:23] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 12:02:26] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9042] 
[18/06/2022 12:09:21] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_enchant], Params: [] 
[18/06/2022 12:09:25] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setew], Params: [ 16] 
[18/06/2022 12:09:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_gmshop], Params: [] 
[18/06/2022 12:10:00] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 12:10:02] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[18/06/2022 12:10:04] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_buy], Params: [ 9042] 
[18/06/2022 12:10:12] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_enchant], Params: [] 
[18/06/2022 12:10:16] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_setew], Params: [ 16] 
[18/06/2022 12:21:14] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 12:21:22] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_gmspeed 4], Params: [] 
[18/06/2022 12:21:25] --> GM: XxClaudinhaxX [268477771], Target: [Old Aristocrat's Soldier], Action: [admin_kill], Params: [] 
[18/06/2022 12:21:28] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 12:21:28] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 12:21:31] --> GM: XxClaudinhaxX [268477771], Target: [Forgotten Victim], Action: [admin_kill], Params: [] 
[18/06/2022 12:21:33] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_kill], Params: [] 
[18/06/2022 12:21:35] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 12:22:06] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[18/06/2022 12:22:11] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmspeed 4], Params: [] 
[18/06/2022 12:23:47] --> GM: XxClaudinhaxX [268477771], Target: [Amanda], Action: [admin_delete], Params: [] 
[18/06/2022 12:23:50] --> GM: XxClaudinhaxX [268477771], Target: [Pepper], Action: [admin_delete], Params: [] 
[18/06/2022 12:26:13] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:26:16] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 731] 
[18/06/2022 12:26:42] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[18/06/2022 12:26:44] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_move_to], Params: [] 
[18/06/2022 12:26:46] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2022 12:26:47] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[18/06/2022 12:26:48] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[18/06/2022 12:27:16] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:27:22] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 961 166] 
[18/06/2022 12:27:43] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:27:50] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_create_item], Params: [ 961 15] 
[18/06/2022 12:27:54] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:27:59] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[18/06/2022 12:28:01] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 12:28:02] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[18/06/2022 12:28:05] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 9049] 
[18/06/2022 12:31:15] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:31:24] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 961 40] 
[18/06/2022 12:31:32] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:31:38] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 961 40] 
[18/06/2022 12:31:45] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:31:50] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 961] 
[18/06/2022 12:31:53] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:31:59] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 961 20] 
[18/06/2022 12:32:00] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[18/06/2022 12:32:06] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 961 20] 
[18/06/2022 12:34:48] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[18/06/2022 12:34:50] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin2], Params: [] 
[18/06/2022 12:34:58] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_mammon_find], Params: [ 2] 
[18/06/2022 12:35:03] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[18/06/2022 12:35:08] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin2], Params: [] 
[18/06/2022 12:35:09] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_mammon_find], Params: [ 1] 
[18/06/2022 12:36:05] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[18/06/2022 12:36:07] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin2], Params: [] 
[18/06/2022 12:36:09] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_mammon_respawn], Params: [] 
[18/06/2022 12:36:41] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[18/06/2022 12:38:13] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_mammon_find], Params: [] 
[18/06/2022 12:39:14] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_ride_wyvern], Params: [] 
[18/06/2022 12:41:24] --> GM: XxClaudinhaxX [268477771], Target: [Wyrm], Action: [admin_gmshop], Params: [] 
[18/06/2022 12:41:25] --> GM: XxClaudinhaxX [268477771], Target: [Wyrm], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[18/06/2022 12:41:27] --> GM: XxClaudinhaxX [268477771], Target: [Wyrm], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[18/06/2022 12:41:30] --> GM: XxClaudinhaxX [268477771], Target: [Wyrm], Action: [admin_buy], Params: [ 9053] 
[18/06/2022 12:42:49] --> GM: XxClaudinhaxX [268477771], Target: [Gatekeeper Ziggurat], Action: [admin_instant_move], Params: [] 
[18/06/2022 12:42:53] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_instant_move], Params: [] 
[18/06/2022 12:43:11] --> GM: XxClaudinhaxX [268477771], Target: [Nephilim Scout], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:11] --> GM: XxClaudinhaxX [268477771], Target: [Hell Keeper Crimson Doll], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:21] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Guardian], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:31] --> GM: XxClaudinhaxX [268477771], Target: [Lilim Assassin], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:41] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Guardian], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:41] --> GM: XxClaudinhaxX [268477771], Target: [Lilim Assassin], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:41] --> GM: XxClaudinhaxX [268477771], Target: [Nephilim Scout], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:45] --> GM: XxClaudinhaxX [268477771], Target: [Hell Keeper Crimson Doll], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:52] --> GM: XxClaudinhaxX [268477771], Target: [Nephilim Scout], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:53] --> GM: XxClaudinhaxX [268477771], Target: [Hell Keeper Crimson Doll], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:53] --> GM: XxClaudinhaxX [268477771], Target: [Lilim Assassin], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:54] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Guardian], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:56] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Guardian], Action: [admin_kill], Params: [] 
[18/06/2022 12:43:58] --> GM: XxClaudinhaxX [268477771], Target: [Lilim Assassin], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:17] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Sage], Action: [admin_admin], Params: [] 
[18/06/2022 12:44:36] --> GM: XxClaudinhaxX [268477771], Target: [Purgatory Gargoyle], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:36] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Sage], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:36] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Sage], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:36] --> GM: XxClaudinhaxX [268477771], Target: [Purgatory Gargoyle], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:36] --> GM: XxClaudinhaxX [268477771], Target: [Purgatory Gargoyle], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:37] --> GM: XxClaudinhaxX [268477771], Target: [Nephilim Archbishop], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:37] --> GM: XxClaudinhaxX [268477771], Target: [Nephilim Archbishop], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:37] --> GM: XxClaudinhaxX [268477771], Target: [Purgatory Gargoyle], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:37] --> GM: XxClaudinhaxX [268477771], Target: [Sepulcher Sage], Action: [admin_kill], Params: [] 
[18/06/2022 12:44:38] --> GM: XxClaudinhaxX [268477771], Target: [Lilim Soldier], Action: [admin_kill], Params: [] 
